filepath,label,class_name,split
C:\Users\Hani Computer\deepfake_project\Data\test\real\000.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_1.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_10.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_11.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_12.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_13.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_14.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_15.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_16.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_17.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_18.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_19.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_2.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_20.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_21.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_22.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_23.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_24.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_25.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_26.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_27.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_28.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_29.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_3.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_30.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_31.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_32.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_33.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_34.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_35.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_36.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_37.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_38.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_39.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_4.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_40.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_41.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_42.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_43.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_44.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_45.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_46.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_47.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_48.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_49.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_5.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_6.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_7.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_8.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000000_9.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_1.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_10.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_11.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_12.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_13.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_14.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_15.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_16.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_17.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_18.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_19.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_2.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_20.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_21.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_22.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_23.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_24.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_25.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_26.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_27.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_28.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_29.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_3.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_30.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_31.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_32.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_33.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_34.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_35.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_36.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_37.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_38.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_39.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_4.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_40.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_41.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_42.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_43.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_44.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_45.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_46.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_47.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_48.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_49.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_5.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_6.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_7.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_8.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000001_9.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_1.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_10.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_11.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_12.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_13.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_14.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_15.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_16.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_17.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_18.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_19.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_2.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_20.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_21.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_22.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_23.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_24.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_25.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_26.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_27.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_28.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_29.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_3.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_30.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_31.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_32.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_33.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_34.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_35.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_36.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_37.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_38.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_39.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_4.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_40.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_41.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_42.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_43.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_44.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_45.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_46.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_47.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_48.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_49.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_5.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_6.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_7.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_8.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000002_9.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_1.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_10.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_11.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_12.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_13.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_14.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_15.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_16.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_17.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_18.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_19.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_2.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_20.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_21.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_22.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_23.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_24.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_25.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_26.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_27.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_28.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_29.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_3.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_30.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_31.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_32.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_33.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_34.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_35.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_36.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_37.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_38.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_39.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_4.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_40.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_41.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_42.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_43.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_44.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_45.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_46.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_47.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_48.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_49.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_5.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_6.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_7.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_8.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000003_9.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_1.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_10.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_11.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_12.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_13.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_14.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_15.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_16.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_17.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_18.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_19.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_2.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_20.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_21.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_22.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_23.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_24.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_25.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_26.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_27.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_28.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_29.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_3.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_30.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_31.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_32.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_33.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_34.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_35.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_36.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_37.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_38.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_39.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_4.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_40.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_41.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_42.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_43.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_44.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_45.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_46.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_47.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_48.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_49.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_5.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_6.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_7.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_8.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000004_9.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_1.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_10.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_11.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_12.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_13.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_14.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_15.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_16.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_17.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_18.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_19.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_2.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_20.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_21.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_22.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_23.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_24.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_25.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_26.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_27.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_28.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_29.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_3.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_30.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_31.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_32.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_33.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_34.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_35.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_36.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_37.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_38.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_39.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_4.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_40.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_41.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_42.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_43.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_44.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_45.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_46.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_47.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_48.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_49.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_5.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_6.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_7.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_8.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000005_9.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000006.png,0,real,test
C:\Users\Hani Computer\deepfake_project\Data\test\real\00000006_1.png,0,real,test
